########  2026/01/15    市盈动    总市值
000825    #太钢不锈     40.39     305.9亿
002180    #纳思达       -64.34    305.6亿
600038    #中直股份     61.37     305.0亿
600848    #上海临港     20.74     305.0亿
000733    #振华科技     36.70     304.9亿
600688    #上海石化     -52.95    304.7亿
000060    #中金岭南     27.17     304.7亿
688018    #乐鑫科技     60.62     304.5亿
000737    #北方铜业     33.06     303.8亿
002138    #顺络电子     29.62     303.7亿
000688    #国城矿业     50.53     303.5亿
600079    #ST人福       13.43     302.3亿
688343    #云天励飞-U   -76.09    302.2亿
000034    #神州数码     33.78     301.8亿
300763    #锦浪科技     26.15     301.8亿
600985    #淮北矿业     21.14     301.6亿
688192    #迪哲医药-U   -39.01    301.6亿
300102    #乾照光电     257.19    301.6亿
600348    #华阳股份     20.02     300.1亿
688114    #华大智造     -188.19   299.9亿
600704    #物产中大     7.36      299.4亿
688248    #南网科技     78.29     299.3亿
000887    #中鼎股份     17.14     298.7亿
600316    #洪都航空     1886.04   298.6亿
601156    #东航物流     11.19     298.5亿
600369    #西南证券     31.71     298.4亿
603728    #鸣志电器     448.76    298.2亿
002716    #湖南白银     140.75    297.6亿
002792    #通宇通讯     880.90    296.9亿
002797    #第一创业     28.87     296.7亿
002603    #以岭药业     22.19     296.0亿
003021    #兆威机电     122.52    296.0亿
002157    #正邦科技     2685.86   296.0亿
600398    #海澜之家     11.89     295.4亿
600776    #东方通信     60.74     295.0亿
300001    #特锐德       32.19     294.3亿
601126    #四方股份     31.35     294.3亿
600873    #梅花生物     7.29      293.9亿
603236    #移远通信     30.01     293.5亿
300017    #网宿科技     35.69     293.2亿
601099    #太平洋       89.50     293.1亿
000400    #许继电气     24.38     293.1亿
688765    #禾元生物-U   -181.21   293.0亿
002841    #视源股份     25.31     292.7亿
301526    #国际复材     80.41     292.6亿
601208    #东材科技     77.48     292.3亿
301297    #富乐德       103.91    292.1亿
300638    #广和通       69.24     291.9亿
688295    #中复神鹰     347.07    291.2亿
300672    #国科微       2938.20   290.1亿
603338    #浙江鼎力     13.63     289.8亿
000969    #安泰科技     77.11     289.5亿
000683    #博源化工     20.42     289.2亿
002318    #久立特材     17.15     288.5亿
600816    #建元信托     419.52    288.4亿
002756    #永兴材料     40.69     288.4亿
688727    #恒坤新材     291.82    287.6亿
000738    #航发控制     53.78     287.5亿
601519    #大智慧       -729.22   287.4亿
600732    #爱旭股份     -40.46    287.1亿
002608    #江苏国信     6.64      285.6亿
600151    #航天机电     -86.79    285.6亿
301217    #铜冠铜箔     340.80    285.0亿
002545    #东方铁塔     25.77     284.5亿
600754    #锦江酒店     28.57     284.2亿
002151    #北斗星通     1176.80   284.1亿
300024    #机器人       -133.53   284.0亿
688582    #芯动联科     89.07     283.5亿
600499    #科达制造     18.50     283.5亿
603345    #安井食品     22.37     283.1亿
002007    #华兰生物     27.05     282.9亿
600486    #扬农化工     20.10     282.8亿
603067    #振华股份     51.68     282.2亿
600343    #航天动力     -193.17   281.4亿
688425    #铁建重工     20.92     280.0亿
600602    #云赛智联     144.60    280.0亿
688561    #奇安信-U     -33.99    279.6亿
600777    #*ST新潮      15.75     279.5亿
600970    #中材国际     10.11     279.5亿
002265    #建设工业     700.20    279.4亿
688052    #纳芯微       -149.09   279.3亿
605358    #立昂微       -193.74   278.9亿
600299    #安迪苏       21.06     278.1亿
300677    #英科医疗     22.54     277.9亿
001386    #马可波罗     19.60     277.7亿
300236    #上海新阳     98.52     277.3亿
000603    #盛达资源     64.46     277.3亿
601069    #西部黄金     70.09     276.8亿
300383    #光环新网     144.48    276.6亿
603605    #珀莱雅       20.17     275.9亿
300953    #震裕科技     50.04     274.9亿
603881    #数据港       171.63    274.3亿
002423    #中粮资本     20.06     274.2亿
002497    #雅化集团     61.55     274.1亿
000750    #国海证券     29.13     274.0亿
301536    #星宸科技     101.45    273.5亿
600598    #北大荒       15.09     273.1亿
600583    #海油工程     12.75     272.8亿
603939    #益丰药房     16.71     272.8亿
600435    #北方导航     164.15    272.5亿
301498    #乖宝宠物     39.84     272.5亿
600998    #九州通       10.34     272.3亿
688563    #航材股份     50.91     271.6亿
600153    #建发股份     17.68     270.8亿
003022    #联泓新科     87.28     270.5亿
603667    #五洲新春     205.59    270.0亿
600312    #平高电气     20.59     269.6亿
920982    #锦波生物     35.55     269.4亿
000592    #平潭发展     646.24    269.1亿
600320    #振华重工     38.47     268.7亿
600518    #康美药业     1538.03   268.3亿
600410    #华胜天成     56.04     267.8亿
688005    #容百科技     -98.32    266.9亿
688523    #航天环宇     388.02    266.3亿
001696    #宗申动力     26.32     265.9亿
603092    #德力佳       31.63     265.6亿
300438    #鹏辉能源     173.88    265.6亿
688766    #普冉股份     337.12    265.4亿
002249    #大洋电机     23.53     265.0亿
600390    #五矿资本     26.34     264.9亿
000062    #深圳华强     54.90     264.3亿
603529    #爱玛科技     10.35     263.3亿
000519    #中兵红箭     -334.88   262.6亿
688548    #广钢气体     98.17     262.6亿
300364    #中文在线     -37.74    261.9亿
601228    #广州港       26.26     261.8亿
300409    #道氏技术     47.20     261.4亿
000009    #中国宝安     68.98     260.5亿
600113    #浙江东日     170.00    260.4亿
600170    #上海建工     16.12     260.4亿
601928    #凤凰传媒     11.48     260.3亿
603358    #华达科技     49.52     259.7亿
300870    #欧陆通       87.79     259.4亿
002410    #广联达       62.52     259.4亿
688708    #佳驰科技     78.19     259.2亿
301005    #超捷股份     683.30    259.0亿
300002    #神州泰岳     26.76     258.5亿
000766    #通化金马     775.59    258.2亿
301606    #绿联科技     41.45     258.0亿
603899    #晨光股份     20.37     257.5亿
600483    #福能股份     9.69      256.9亿
002046    #国机精工     93.46     256.9亿
603816    #顾家家居     12.52     256.8亿
600521    #华海药业     50.63     256.8亿
002831    #裕同科技     16.28     256.3亿
688475    #萤石网络     45.45     255.9亿
301205    #联特科技     234.36    255.6亿
688208    #道通科技     26.13     255.5亿
601118    #海南橡胶     -69.63    255.5亿
002025    #航天电器     131.11    255.3亿
600550    #保变电气     131.17    255.2亿
002484    #江海股份     35.77     255.1亿
301301    #川宁生物     31.16     254.0亿
001270    #*ST铖昌      210.16    253.2亿
605589    #圣泉集团     24.94     252.6亿
000050    #深天马Ａ     60.46     252.4亿
002948    #青岛银行     4.74      252.0亿
002262    #恩华药业     17.08     251.8亿
002405    #四维图新     -26.66    251.8亿
600259    #中稀有色     147.76    251.3亿
600132    #重庆啤酒     15.15     250.7亿
000415    #渤海租赁     -13.69    250.5亿
002389    #航天彩虹     3096.35   250.3亿
601020    #华钰矿业     23.41     250.1亿
688409    #富创精密     500.38    250.1亿
000032    #深桑达Ａ     -62.35    248.4亿
002270    #华明装备     32.05     248.3亿
000875    #吉电股份     23.64     246.7亿
300012    #华测检测     22.73     246.2亿
688266    #泽璟制药-U   -197.65   246.2亿
000709    #河钢股份     22.42     246.0亿
000681    #视觉中国     248.24    246.0亿
600012    #皖通高速     12.48     245.9亿
600575    #淮河能源     24.50     245.8亿
688195    #腾景科技     288.59    245.5亿
300718    #长盛轴承     97.85     245.0亿
301345    #涛涛车业     30.29     244.9亿
300570    #太辰光       70.42     244.4亿
600707    #彩虹股份     48.31     244.4亿
600566    #济川药业     17.92     244.3亿
600877    #电科芯片     1842.85   244.0亿
002217    #合力泰       1026.78   243.8亿
688281    #华秦科技     75.08     243.2亿
600004    #白云机场     16.63     243.0亿
002739    #万达电影     25.71     242.9亿
002326    #永太科技     559.06    242.7亿
603290    #斯达半导     47.66     242.7亿
300260    #新莱应材     125.31    242.6亿
600582    #天地科技     7.77      242.5亿
002428    #云南锗业     999.21    241.8亿
002865    #钧达股份     -43.28    241.7亿
000623    #吉林敖东     8.00      241.1亿
300623    #捷捷微电     51.99     240.5亿
002544    #普天科技     1025.93   240.2亿
600612    #老凤祥       12.52     240.1亿
000539    #粤电力Ａ     30.82     239.9亿
300660    #江苏雷利     67.89     239.7亿
002926    #华西证券     16.97     239.7亿
001221    #悍高集团     37.16     239.5亿
002320    #海峡股份     94.24     239.3亿
601001    #晋控煤业     14.02     238.7亿
688146    #中船特气     72.88     238.6亿
600323    #瀚蓝环境     11.15     238.5亿
002048    #宁波华翔     201.43    238.3亿
300676    #华大基因     -834.70   238.0亿
600783    #鲁信创投     55.57     237.8亿
600516    #方大炭素     157.40    237.5亿
002895    #川恒股份     18.47     237.5亿
600563    #法拉电子     20.06     237.4亿
603341    #龙旗科技     35.08     237.3亿
688449    #联芸科技     197.22    236.8亿
300229    #拓尔思       -110.76   236.4亿
688088    #虹软科技     125.09    236.4亿
000155    #川能动力     50.96     236.1亿
000429    #粤高速Ａ     11.44     235.6亿
688301    #奕瑞科技     37.55     235.6亿
600057    #厦门象屿     10.81     235.5亿
601000    #唐山港       12.68     234.7亿
688205    #德科立       438.78    234.6亿
600120    #浙江东方     22.00     234.6亿
605255    #天普股份     984.88    234.4亿
300773    #拉卡拉       51.86     234.4亿
600166    #福田汽车     15.80     234.4亿
000528    #柳工         12.06     234.3亿
688279    #峰岹科技     105.05    234.3亿
000898    #鞍钢股份     -8.61     234.2亿
002611    #东方精工     34.34     233.7亿
600416    #湘电股份     87.35     233.6亿
600171    #上海贝岭     85.61     233.2亿
000088    #盐田港       16.31     232.9亿
688772    #珠海冠宇     45.10     232.6亿
300738    #奥飞数据     119.84    232.4亿
688536    #思瑞浦       138.30    232.4亿
002266    #浙富控股     23.58     232.3亿
600606    #绿地控股     -2.60     231.9亿
600098    #广州发展     8.05      231.7亿
600927    #永安期货     36.55     231.4亿
603360    #百傲化学     138.31    230.5亿
601128    #常熟银行     5.15      230.5亿
002568    #百润股份     31.24     228.8亿
600246    #万通发展     -866.43   228.7亿
600651    #飞乐音响     483.17    228.6亿
688363    #华熙生物     67.81     228.2亿
600535    #天士力       17.36     227.8亿
600475    #华光环能     49.56     227.5亿
603337    #杰克科技     24.98     227.1亿
600629    #华建集团     107.87    226.9亿
001301    #尚太科技     23.91     226.8亿
688048    #长光华芯     811.34    226.6亿
002759    #天际股份     -167.32   226.4亿
920045    #蘅东光       75.64     226.0亿
002171    #楚江新材     47.60     225.4亿
688123    #聚辰股份     52.85     225.4亿
601992    #金隅集团     -11.86    225.3亿
601969    #海南矿业     54.07     225.2亿
600619    #海立股份     304.79    224.9亿
600869    #远东股份     100.17    223.9亿
300100    #双林股份     41.69     223.6亿
300455    #航天智装     -105.85   223.5亿
300811    #铂科新材     57.08     223.4亿
002400    #省广集团     174.16    223.1亿
300144    #宋城演艺     22.20     223.1亿
600548    #深高速       11.35     222.6亿
688759    #必贝特-U     -155.09   222.2亿
000582    #北部湾港     21.11     222.0亿
600906    #财达证券     25.07     222.0亿
300888    #稳健医疗     22.72     221.8亿
300049    #福瑞医科     148.49    221.5亿
603305    #旭升集团     55.39     221.4亿
000967    #盈峰环境     35.22     221.4亿
603613    #国联股份     15.06     221.0亿
600008    #首创环保     11.56     221.0亿
000686    #东北证券     15.42     219.3亿
002312    #川发龙蟒     37.63     219.2亿
000901    #航天科技     173.17    219.1亿
600179    #安通控股     24.71     218.8亿
002378    #章源钨业     86.21     218.5亿
600380    #健康元       15.01     218.4亿
300779    #惠城环保     594.70    218.4亿
000791    #甘肃能源     10.35     218.3亿
301219    #腾远钴业     21.79     218.2亿
600511    #国药股份     10.96     218.1亿
002500    #山西证券     22.33     217.9亿
688660    #电气风电     -22.33    217.9亿
688166    #博瑞医药     323.76    217.2亿
300342    #天银机电     669.46    216.6亿
600271    #航天信息     -35.49    216.6亿
601966    #玲珑轮胎     13.89     216.2亿
300140    #节能环境     18.35     216.0亿
601158    #重庆水务     20.78     216.0亿
002747    #埃斯顿       557.45    215.6亿
000029    #深深房Ａ     111.37    215.5亿
688502    #茂莱光学     353.52    215.4亿
000723    #美锦能源     -21.91    215.3亿
300446    #航天智造     24.81     215.2亿
301626    #苏州天脉     113.11    215.0亿
002984    #森麒麟       15.88     215.0亿
603688    #石英股份     119.22    214.8亿
601333    #广深铁路     11.05     214.6亿
002583    #海能达       86.48     214.6亿
688630    #芯碁微装     80.91     214.5亿
002237    #恒邦股份     28.55     213.8亿
000935    #四川双马     54.56     213.5亿
603233    #大参林       14.82     213.5亿
600850    #电科数字     62.76     213.2亿
002324    #普利特       49.15     213.0亿
000069    #华侨城Ａ     -3.66     213.0亿
601997    #贵阳银行     4.08      212.8亿
600131    #国网信通     45.43     212.7亿
002703    #浙江世宝     106.47    212.5亿
600633    #浙数文化     29.75     212.1亿
688652    #京仪装备     123.53    211.7亿
603658    #安图生物     18.47     211.7亿
300558    #贝达药业     49.91     210.9亿
002901    #大博医疗     37.21     210.7亿
300655    #晶瑞电材     123.00    210.5亿
603025    #大豪科技     26.28     210.5亿
688520    #神州细胞     -62.94    210.4亿
002468    #申通快递     20.86     210.2亿
300146    #汤臣倍健     17.37     210.1亿
000598    #兴蓉环境     8.93      210.1亿
300679    #电连技术     42.26     210.1亿
000739    #普洛药业     22.49     210.0亿
002149    #西部材料     227.08    209.7亿
300726    #宏达电子     48.03     209.5亿
600961    #株冶集团     18.29     209.2亿
603565    #中谷物流     11.12     209.2亿
002461    #珠江啤酒     16.60     208.9亿
002373    #千方科技     82.92     208.9亿
600763    #通策医疗     30.51     208.9亿
000785    #居然智家     39.17     208.0亿
688031    #星环科技-U   -73.12    207.9亿
002779    #中坚科技     692.73    207.8亿
688141    #杰华特       -33.85    207.6亿
601098    #中南传媒     13.27     207.1亿
300827    #上能电气     49.94     207.0亿
300568    #星源材质     135.65    206.9亿
002245    #蔚蓝锂芯     30.24     206.9亿
600428    #中远海特     11.64     206.3亿
600820    #隧道股份     12.79     206.3亿
688698    #伟创电气     68.73     205.8亿
688627    #精智达       372.02    205.7亿
601137    #博威合金     17.51     205.6亿
002299    #圣农发展     13.28     205.2亿
688400    #凌云光       115.95    205.1亿
603698    #航天工程     114.33    205.0亿
688006    #杭可科技     39.83     204.8亿
300682    #朗新集团     145.03    204.5亿
600655    #豫园股份     -31.42    204.4亿
000636    #风华高科     67.00     204.1亿
601666    #平煤股份     54.70     204.0亿
600546    #山煤国际     14.61     203.8亿
603355    #莱克电气     24.54     203.2亿
603306    #华懋科技     88.25     203.0亿
601375    #中原证券     39.07     202.9亿
600764    #XD中国海     98.69     202.9亿
002120    #韵达股份     20.82     202.7亿
300624    #万兴科技     -246.25   202.2亿
601702    #华峰铝业     16.93     202.2亿
300045    #华力创通     1613.08   201.9亿
600933    #爱柯迪       16.91     201.9亿
603530    #神马电力     54.58     201.6亿
301316    #慧博云通     203.75    201.3亿
300459    #汤姆猫       -343.26   201.1亿
300118    #东方日升     -16.14    200.9亿
300142    #沃森生物     91.96     200.4亿
000591    #太阳能       13.31     199.8亿
601016    #节能风电     19.96     199.7亿
000902    #新洋丰       10.90     199.6亿
688100    #威胜信息     31.53     199.3亿
600388    #龙净环保     19.14     199.1亿
603077    #和邦生物     160.06    198.7亿
605196    #华通线缆     57.86     198.5亿
301511    #德福科技     223.47    198.4亿
300735    #光弘科技     74.79     198.4亿
688567    #孚能科技     -38.59    198.3亿
002847    #盐津铺子     24.59     198.2亿
000410    #沈阳机床     12975.24  198.2亿
000581    #威孚高科     12.89     198.0亿
301061    #匠心家居     22.58     197.9亿
300776    #帝尔激光     29.91     197.8亿
301035    #润丰股份     16.65     197.5亿
000061    #农产品       56.08     197.3亿
300913    #兆龙互连     107.05    197.3亿
603871    #嘉友国际     16.93     197.3亿
600339    #中油工程     28.24     197.1亿
600635    #大众公用     28.42     196.9亿
603888    #新华网       72.56     196.8亿
000951    #中国重汽     14.04     196.6亿
301363    #美好医疗     70.78     196.5亿
600007    #中国国贸     15.65     196.2亿
688372    #伟测科技     72.62     196.0亿
002432    #九安医疗     9.25      196.0亿
600114    #东睦股份     35.17     194.7亿
600258    #首旅酒店     19.32     194.4亿
300457    #赢合科技     48.24     194.3亿
688388    #嘉元科技     356.32    194.2亿
603992    #松霖科技     91.73     194.0亿
002690    #美亚光电     28.04     194.0亿
300468    #四方精创     217.28    193.8亿
600062    #华润双鹤     10.77     193.7亿
002413    #雷科防务     -160.02   193.3亿
001267    #汇绿生态     280.21    193.2亿
601811    #新华文轩     14.84     193.2亿
601139    #深圳燃气     13.72     193.0亿
600726    #华电能源     54.16     192.9亿
601326    #秦港股份     10.40     192.8亿
000543    #皖能电力     7.58      192.7亿
601609    #金田股份     24.52     192.4亿
688503    #聚和材料     60.35     192.3亿
002607    #中公教育     156.42    191.8亿
600779    #水井坊       44.04     191.4亿
603662    #柯力传感     56.48     191.4亿
300850    #新强联       21.61     191.3亿
002439    #启明星辰     -66.37    190.9亿
603005    #晶方科技     52.21     190.6亿
600959    #江苏有线     45.68     190.5亿
000937    #冀中能源     35.08     190.5亿
603730    #岱美股份     32.03     189.9亿
601019    #山东出版     11.44     189.7亿
300573    #兴齐眼药     23.71     189.3亿
600761    #安徽合力     12.66     189.3亿
601858    #中国科传     45.71     189.2亿
000962    #东方钽业     68.10     189.1亿
600201    #生物股份     87.92     189.1亿
688516    #奥特维       36.29     188.8亿
601187    #厦门银行     7.30      188.7亿
300602    #飞荣达       49.42     188.6亿
002145    #钛能化学     44.72     188.4亿
600032    #浙江新能     23.03     188.3亿
600702    #舍得酒业     29.88     188.0亿
301155    #海力风电     40.59     187.6亿
002639    #雪人集团     358.48    187.2亿
601677    #明泰铝业     9.99      187.0亿
603185    #弘元绿能     59.54     186.8亿
600739    #辽宁成大     10.27     186.8亿
300007    #汉威科技     164.90    186.5亿
300747    #锐科激光     113.46    186.1亿
002987    #京北方       57.24     185.8亿
688798    #艾为电子     50.51     185.7亿
300503    #昊志机电     114.50    185.6亿
000680    #山推股份     16.60     185.6亿
300296    #利亚德       49.83     185.2亿
601921    #浙版传媒     21.92     185.1亿
600206    #有研新材     56.49     184.8亿
603678    #火炬电子     43.26     184.8亿
301286    #侨源股份     76.56     184.6亿
688519    #南亚新材     87.54     184.5亿
003035    #南网能源     40.41     184.5亿
920116    #星图测控     219.85    184.4亿
600528    #中铁工业     13.91     184.2亿
301293    #三博脑科     164.97    183.9亿
603556    #海兴电力     18.82     183.8亿
603039    #泛微网络     137.59    183.5亿
002508    #老板电器     11.89     183.4亿
300131    #英唐智控     526.69    183.1亿
603301    #振德医疗     67.50     182.9亿
300199    #翰宇药业     192.18    182.8亿
001213    #中铁特货     28.98     182.7亿
300674    #宇信科技     48.97     182.3亿
601107    #四川成渝     10.52     182.3亿
002364    #中恒电气     188.35    182.3亿
600456    #宝钛股份     43.80     182.0亿
688327    #云从科技-UW  -44.08    182.0亿
002317    #众生药业     54.41     181.8亿
601636    #旗滨集团     14.89     181.7亿
002010    #传化智联     21.38     181.6亿
002315    #焦点科技     32.71     181.6亿
688116    #天奈科技     69.39     181.4亿
300777    #中简科技     46.91     181.4亿
300244    #迪安诊断     239.72    181.2亿
002399    #海普瑞       24.55     181.2亿
300766    #每日互动     -250.76   181.2亿
688131    #皓元医药     57.30     180.8亿
600490    #鹏欣资源     57.93     180.8亿
601918    #新集能源     8.75      180.6亿
000563    #陕国投Ａ     12.55     180.5亿
002698    #博实股份     31.79     180.4亿
002268    #电科网安     -63.34    180.1亿
688484    #南芯科技     70.57     179.9亿
600667    #太极实业     30.54     179.9亿
002396    #星网锐捷     39.13     179.7亿
001287    #中电港       52.22     179.3亿
600641    #先导基电     720.14    179.2亿
000620    #盈新发展     -27.64    179.1亿
300034    #钢研高纳     107.73    178.9亿
300601    #康泰生物     272.83    178.8亿
688362    #甬矽电子     212.20    178.6亿
000799    #酒鬼酒       -1365.67  178.5亿
600072    #中船科技     -9.34     178.5亿
300910    #瑞丰新材     23.30     178.4亿
600226    #亨通股份     70.83     178.2亿
300010    #豆神教育     145.59    178.1亿
000555    #神州信息     -124.99   178.0亿
002978    #安宁股份     21.07     177.9亿
000628    #高新发展     140.05    177.9亿
301018    #申菱环境     88.85     177.8亿
002031    #巨轮智能     -148.96   177.7亿
603589    #口子窖       17.96     177.7亿
301039    #中集车辆     21.44     177.7亿
300315    #掌趣科技     173.73    177.3亿
301589    #诺瓦星云     29.87     177.3亿
002015    #协鑫能科     17.41     176.9亿
002565    #顺灏股份     197.10    176.9亿
688332    #中科蓝讯     62.80     176.8亿
002906    #华阳集团     23.62     176.8亿
300182    #捷成股份     62.38     176.6亿
000537    #绿发电力     16.43     176.5亿
603927    #中科软       76.23     176.2亿
300378    #鼎捷数智     258.52    176.1亿
301486    #致尚科技     80.87     176.0亿
688390    #固德威       162.63    175.9亿
002182    #宝武镁业     150.83    175.8亿
300492    #华图山鼎     52.92     175.8亿
600338    #西藏珠峰     30.19     175.7亿
300133    #华策影视     75.21     175.6亿
603456    #九洲药业     17.61     175.6亿
300376    #易事特       139.67    175.5亿
300723    #一品红       -96.74    175.5亿
300009    #安科生物     23.87     175.5亿
300957    #贝泰妮       48.34     175.2亿
688153    #唯捷创芯     1527.05   175.1亿
002385    #大北农       51.07     175.0亿
600859    #王府井       106.00    174.8亿
002969    #嘉美包装     334.57    174.7亿
002936    #郑州银行     5.74      174.6亿
688800    #瑞可达       56.14     174.4亿
301029    #怡合达       31.31     174.3亿
000685    #中山公用     10.79     174.2亿
603858    #步长制药     15.03     174.0亿
600623    #华谊集团     33.01     173.9亿
002139    #拓邦股份     31.00     173.8亿
603712    #七一二       -63.22    173.7亿
300775    #三角防务     34.69     173.7亿
603997    #继峰股份     51.83     173.5亿
300377    #赢时胜       -300.86   173.3亿
688127    #蓝特光学     52.01     173.3亿
001369    #双欣环保     32.15     173.2亿
688097    #博众精工     39.06     173.1亿
688185    #康希诺       898.69    173.0亿
601068    #中铝国际     109.14    173.0亿
000801    #四川九洲     132.62    173.0亿
601369    #陕鼓动力     21.00     172.9亿
688382    #益方生物-U   -71.43    172.8亿
002366    #融发核电     -176.74   172.7亿
601965    #中国汽研     19.43     172.5亿
000980    #众泰汽车     -58.10    172.5亿
000099    #中信海直     52.87     172.5亿
688432    #有研硅       82.77     172.3亿
603056    #德邦股份     -46.67    172.3亿
002176    #江特电机     -114.36   172.2亿
000778    #新兴铸管     18.44     172.0亿
300761    #立华股份     44.92     172.0亿
002372    #伟星新材     23.90     171.9亿
688206    #概伦电子     307.02    171.9亿
002958    #青农商行     3.88      171.7亿
000682    #东方电子     25.98     171.5亿
002815    #崇达技术     40.89     171.0亿
000833    #粤桂股份     28.88     170.9亿
603014    #威高血净     37.54     170.6亿
002896    #中大力德     223.37    170.4亿
600361    #创新新材     17.99     170.2亿
300593    #新雷能       -141.86   170.0亿
688353    #华盛锂电     -123.76   169.9亿
002506    #协鑫集成     -22.92    169.7亿
002536    #飞龙股份     44.34     169.5亿
002755    #奥赛康       56.92     169.5亿
301678    #新恒汇       106.04    169.4亿
002276    #万马股份     30.85     169.4亿
600621    #华鑫股份     25.09     169.1亿
603868    #飞科电器     27.70     168.8亿
600675    #中华企业     35.96     168.7亿
688779    #五矿新能     -628.37   168.4亿
002096    #易普力       19.57     168.1亿
000917    #电广传媒     95.28     167.8亿
688726    #拉普拉斯     21.39     167.7亿
600867    #通化东宝     10.46     167.7亿
000970    #中科三环     139.20    167.6亿
002416    #爱施德       37.27     167.6亿
600720    #中交设计     16.70     167.5亿
688068    #热景生物     -115.30   167.5亿
600531    #豫光金铅     20.24     167.5亿
002368    #太极股份     3102.65   167.4亿
688062    #迈威生物-U   -20.99    167.2亿
600596    #新安股份     175.56    167.1亿
688392    #骄成超声     133.13    166.9亿
603026    #石大胜华     -200.92   166.6亿
603882    #金域医学     -156.99   166.6亿
600167    #联美控股     23.00     166.5亿
002922    #伊戈尔       70.05     166.3亿
300576    #容大感光     125.82    165.9亿
600986    #浙文互联     98.23     165.8亿
300428    #立中集团     19.89     165.8亿
600022    #山东钢铁     88.96     165.8亿
300130    #新国都       30.48     165.7亿
000422    #湖北宜化     15.29     165.4亿
603733    #仙鹤股份     15.92     165.1亿
600827    #百联股份     41.95     165.0亿
600403    #大有能源     -11.03    165.0亿
688403    #汇成股份     99.56     164.9亿
300129    #泰胜风能     56.94     164.4亿
688790    #昂瑞微-UW    -196.41   164.4亿
600928    #西安银行     6.05      164.0亿
603505    #金石资源     52.16     163.9亿
603778    #国晟科技     -81.35    163.8亿
300529    #健帆生物     27.10     163.8亿
300101    #振芯科技     132.40    163.8亿
300065    #海兰信       308.17    163.6亿
605099    #共创草坪     23.73     163.0亿
301267    #华厦眼科     28.17     162.9亿
600446    #金证股份     -216.03   162.8亿
300469    #信息发展     -156.43   162.8亿
688029    #南微医学     23.95     162.6亿
920808    #曙光数创     -173.92   161.9亿
300357    #我武生物     35.17     161.7亿
603009    #北特科技     130.66    161.4亿
002643    #万润股份     39.61     161.4亿
000600    #建投能源     7.62      160.8亿
000156    #华数传媒     34.56     160.8亿
688691    #灿芯股份     -127.65   160.8亿
603638    #艾迪精密     38.15     160.7亿
002250    #联化科技     38.17     160.7亿
688552    #航天南湖     321.38    160.6亿
301238    #瑞泰新材     102.23    160.6亿
603663    #三祥新材     154.39    160.5亿
605376    #博迁新材     79.38     160.4亿
600452    #涪陵电力     40.59     160.1亿
688167    #炬光科技     5340.45   159.9亿
688198    #佰仁医疗     129.37    159.9亿
688686    #奥普特       65.63     159.8亿
002925    #盈趣科技     67.30     159.8亿
300113    #顺网科技     36.93     159.4亿
600459    #贵研铂业     23.87     159.3亿
600056    #中国医药     26.27     159.3亿
688807    #优迅股份     163.74    159.2亿
000927    #中国铁物     26.37     159.1亿
688352    #颀中科技     64.66     159.1亿
603194    #中力股份     17.41     159.0亿
603132    #金徽股份     34.47     159.0亿
300806    #斯迪克       263.37    159.0亿
688258    #卓易信息     267.27    158.9亿
300083    #创世纪       34.20     158.7亿
002115    #三维通信     4137.20   158.5亿
002617    #露笑科技     48.28     158.5亿
603011    #合锻智能     -267.77   158.3亿
300088    #长信科技     41.53     158.1亿
000811    #冰轮环境     27.70     158.1亿
603376    #大明电子     61.48     158.1亿
002911    #佛燃能源     24.17     158.0亿
300969    #恒帅股份     91.77     157.9亿
301095    #广立微       319.68    157.8亿
601568    #北元集团     55.33     157.7亿
002020    #京新药业     20.52     157.5亿
601975    #招商南油     12.45     157.3亿
688584    #上海合晶     112.49    157.2亿
600662    #外服控股     22.61     157.1亿
603406    #天富龙       36.31     157.0亿
300257    #开山股份     38.72     157.0亿
002226    #江南化工     17.70     156.8亿
002891    #中宠股份     35.27     156.8亿
600366    #宁波韵升     42.57     156.6亿
002549    #凯美特气     155.77    156.6亿
600315    #上海家化     28.97     156.6亿
603169    #兰石重装     1048.29   156.5亿
688326    #经纬恒润-W   -156.35   156.5亿
002946    #新乳业       18.81     156.2亿
000550    #江铃汽车     15.63     156.2亿
688300    #联瑞新材     53.21     156.1亿
000923    #河钢资源     21.77     156.1亿
600330    #天通股份     204.00    155.9亿
301123    #奕东电子     407.59    155.9亿
300990    #同飞股份     64.77     155.9亿
300035    #中科电气     29.09     155.8亿
603300    #海南华铁     22.05     155.8亿
603352    #N至信        70.66     155.4亿
000656    #*ST金科      -1.08     155.3亿
301522    #上大股份     152.05    155.3亿
002361    #神剑股份     383.69    155.1亿
300821    #东岳硅材     4064.15   154.8亿
601038    #一拖股份     11.67     154.7亿
300634    #彩讯股份     59.08     154.7亿
300618    #寒锐钴业     48.63     154.5亿
002019    #亿帆医药     29.83     154.2亿
001308    #康冠科技     22.96     153.9亿
688559    #海目星       -12.65    153.9亿
300363    #博腾股份     144.13    153.6亿
300607    #拓斯达       233.40    153.5亿
000966    #长源电力     33.74     153.5亿
603707    #健友股份     26.80     153.5亿
002121    #科陆电子     49.64     153.5亿
300224    #正海磁材     50.46     153.4亿
000612    #焦作万方     12.68     153.2亿
605111    #新洁能       34.32     153.1亿
002017    #东信和平     101.79    152.6亿
688668    #鼎通科技     64.81     152.6亿
301488    #豪恩汽电     179.44    152.5亿
