########  2026/01/15    市盈动    总市值
601169    #北京银行     4.01      1127亿
002625    #光启技术     138.88    1122亿
300498    #温氏股份     15.89     1114亿
600893    #航发动力     764.22    1100亿
002241    #歌尔股份     31.70     1093亿
002027    #分众传媒     19.34     1093亿
300015    #爱尔眼科     26.20     1088亿
600886    #国投电力     12.13     1054亿
688072    #拓荆科技     141.56    1050亿
601186    #中国铁建     5.27      1042亿
600015    #华夏银行     4.34      1041亿
600418    #江淮汽车     -54.39    1040亿
688783    #西安奕材-U   -139.36   1037亿
000100    #TCL科技      25.35     1030亿
600436    #片仔癀       36.01     1023亿
601006    #大秦铁路     12.21     1013亿
002837    #英维克       189.64    1009亿
000538    #云南白药     15.80     1007亿
002466    #天齐锂业     419.57    1006亿
600160    #巨化股份     23.19     1004亿
000977    #浪潮信息     50.63     1000亿
688775    #影石创新     94.36     996.1亿
601868    #中国能建     23.58     992.2亿
688082    #盛美上海     58.25     983.2亿
603296    #华勤技术     23.54     972.4亿
601360    #三六零       -592.65   965.9亿
600415    #小商品城     20.94     965.1亿
688521    #芯原股份     -206.41   954.2亿
300408    #三环集团     36.38     950.0亿
002304    #洋河股份     17.89     948.3亿
300450    #先导智能     59.75     945.2亿
601669    #中国电建     9.27      923.3亿
601872    #招商轮船     20.90     919.7亿
600958    #东方证券     13.29     905.7亿
600673    #东阳光       74.66     901.4亿
600438    #通威股份     -12.83    901.3亿
601869    #长飞光纤     143.27    897.2亿
002709    #天赐材料     159.97    897.1亿
002311    #海大集团     16.15     892.3亿
002558    #巨人网络     47.16     891.0亿
000895    #双汇发展     16.87     890.4亿
600039    #四川路桥     12.58     888.7亿
000426    #兴业银锡     48.67     885.2亿
600879    #航天电子     316.85    883.6亿
300604    #长川科技     75.49     871.0亿
600795    #国电电力     9.59      866.8亿
600875    #东方电气     21.87     864.9亿
002532    #天山铝业     19.34     861.4亿
601238    #广汽集团     -14.83    852.5亿
603268    #*ST松发      50.11     849.4亿
601825    #沪农商行     6.00      845.8亿
600600    #青岛啤酒     12.00     843.8亿
001979    #招商蛇口     25.27     841.2亿
000657    #中钨高新     74.21     836.9亿
000988    #华工科技     47.46     836.2亿
002353    #杰瑞股份     34.36     828.3亿
600549    #厦门钨业     34.70     824.3亿
601916    #浙商银行     5.30      823.9亿
300803    #指南针       532.22    823.0亿
000630    #铜陵有色     34.82     822.0亿
688375    #国博电子     244.91    806.9亿
603893    #瑞芯微       77.63     806.9亿
688183    #生益电子     54.07     803.5亿
002920    #德赛西威     33.69     802.9亿
601788    #光大证券     22.44     801.4亿
000768    #中航西飞     60.53     801.0亿
688396    #华润微       114.30    800.9亿
688729    #屹唐股份     115.38    793.3亿
300475    #香农芯创     165.46    792.8亿
000975    #山金国际     24.17     792.8亿
000708    #中信特钢     13.72     791.9亿
600009    #上海机场     36.33     791.5亿
002001    #新和成       11.13     789.3亿
600584    #长电科技     61.90     787.2亿
300418    #昆仑万维     -88.18    782.2亿
600026    #中远海能     21.51     781.0亿
002179    #中航光电     33.64     778.9亿
605117    #德业股份     24.72     773.5亿
688036    #传音控股     26.89     770.1亿
000938    #紫光股份     41.09     769.1亿
601061    #中信金属     24.70     765.9亿
600048    #保利发展     29.75     764.9亿
603195    #公牛集团     18.96     753.0亿
000157    #中联重科     14.34     749.8亿
688126    #沪硅产业     -89.05    749.6亿
002074    #国轩高科     22.00     743.1亿
600196    #复星医药     22.08     742.9亿
300136    #信维通信     114.49    742.6亿
601808    #中海油服     17.35     742.5亿
002049    #紫光国微     43.74     736.5亿
600176    #中国巨石     21.43     733.8亿
601077    #渝农商行     5.15      733.7亿
688525    #佰维存储     1808.65   733.4亿
601168    #西部矿业     18.65     732.5亿
600426    #华鲁恒升     22.97     727.2亿
001391    #国货航       29.68     726.4亿
600221    #海航控股     19.14     726.0亿
688249    #晶合集成     98.72     724.1亿
600580    #卧龙电驱     65.68     716.9亿
