#code#####  #name                        #start      #base    #number
#                                                             
#           #基指                                             
0950080     #中小企改                    2013-12-31  1000     47
0950081     #180碳效                     2013-06-28  1000     175
0950082     #上海改革                    2011-12-31  1000     72
0950083     #上证长三角                  2012-12-31  1000     100
0950085     #沪物联网                    2012-06-29  1000     50
0950086     #沪自贸区                    2013-12-31  1000     80
0950087     #上证海洋                    2009-12-31  1000     50
0950088     #沪轻资产                    2004-12-31  1000     99
0950089     #上证电子                    2004-12-31  1000     50
0950097     #沪供给侧                    2013-12-31  1000     100
0950100     #上高股息                    2004-12-31  1000     50
0950101     #沪智能造                    2012-06-29  1000     50
0950106     #上证创新                    2012-12-31  1000     100
0950107     #380创新                     2012-12-31  1000     49
0950125     #科创半导体材料设备          2019-12-31  1000     30
0950161     #科创新药                    2022-12-30  1000     30
0950162     #科创芯片设计                2019-12-31  1000     50
0950180     #科创AI                      2022-12-30  1000     30
0950189     #沪新基建                    2014-12-31  1000     90
0950194     #上证新能源车                2014-12-31  1000     31
0950220     #上证新能源                  2008-12-31  1000     92
0950222     #沪专精特新                  2018-12-28  1000     100
0950223     #50ESG                       2017-06-30  1000     49
0950224     #180ESG基准                  2017-06-30  1000     146
0950225     #380ESG                      2021-06-30  1000     296
0950226     #180ESG领先                  2017-06-30  1000     60
0950227     #380ESG领先                  2021-06-30  1000     120
0950238     #上证光伏                    2017-12-29  1000     30
0950239     #上证太阳能                  2017-12-29  1000     50
0950253     #国新科创国企                2022-12-30  1000     76
0950255     #科创医疗                    2022-12-30  1000     30
0950332     #科创计算机                  2022-12-30  1000     50
0950357     #科创专精特新                2024-06-28  1000     50
0950363     #科创民企                    2019-12-31  1000     428
#                                                             
#           #策略指数                                         
0000050     #50等权                      2003-12-31  1000     50
0000051     #180等权                     2002-06-28  3299.06  180
0000052     #50基本                      2003-12-31  1000     50
0000053     #180基本                     2002-06-28  3299.06  180
0000070     #能源等权                    2003-12-31  1000     30
0000071     #材料等权                    2003-12-31  1000     50
0000072     #工业等权                    2003-12-31  1000     50
0000073     #可选等权                    2003-12-31  1000     50
0000074     #消费等权                    2003-12-31  1000     30
0000075     #医药等权                    2003-12-31  1000     49
0000076     #金融等权                    2003-12-31  1000     30
0000077     #信息等权                    2003-12-31  1000     50
0000078     #通信等权                    2003-12-31  1000     33
0000079     #公用等权                    2003-12-31  1000     30
0000093     #180分层                     2002-06-28  3299.06  180
0000098     #上证F200                    2004-12-31  1000     199
0000099     #上证F300                    2004-12-31  1000     299
0000100     #上证F500                    2004-12-31  1000     498
0000115     #380等权                     2003-12-31  1000     380
0000123     #180动态                     2002-06-28  3299.06  90
0000125     #180稳定                     2002-06-28  3299.06  90
0000128     #380基本                     2003-12-31  1000     379
0000129     #180波动                     2002-06-28  3299.06  100
0000130     #380波动                     2003-12-31  1000     100
0000135     #180高贝                     2002-06-28  3299.06  60
0000136     #180低贝                     2002-06-28  3299.06  60
0000137     #380高贝                     2003-12-31  1000     100
0000138     #380低贝                     2003-12-31  1000     100
0000141     #380动态                     2003-12-31  1000     190
0000142     #380稳定                     2003-12-31  1000     189
0000690     #科创成长                    2019-12-31  1000     50
0950050     #沪红利配置                  2013-12-31  1000     -
0950076     #50两倍                      2009-06-30  2500     50
0950077     #50反向                      2009-06-30  2500     50
0950078     #50反两                      2009-06-30  2500     50
0950094     #上证增持                    2011-12-31  1000     49
0950095     #上证定增                    2011-12-31  1000     50
0950098     #180SNLV                     2004-12-31  1000     100
0950099     #380SNLV                     2004-12-31  1000     150
0950178     #科创民企策略                2019-12-31  1000     50
0950179     #上证回购                    2018-12-28  1000     50
0950181     #上证红利增长                2013-12-31  1000     49
0950182     #180红利增长                 2013-12-31  1000     30
0950258     #上证红利质量                2013-12-31  1000     50
0950259     #上证180红利质量             2013-12-31  1000     50
0950283     #科创盈利质量                2019-12-31  1000     50
0950333     #智选创新价值                2019-12-31  1000     100
0950393     #创新成长策略精选            2022-12-30  1000     80
#                                                             
#           #债券指数                                         
0000012     #国债指数                    2002-12-31  100      178
0000013     #企债指数                    2002-12-31  100      6885
0000022     #沪公司债                    2007-12-31  100      4185
0000061     #沪企债30                    2008-12-31  100      30
0000101     #5年信用                     2007-12-31  100      598
0000116     #信用100                     2007-12-31  100      100
0000139     #上证转债                    2002-12-31  100      182
0950041     #上证投资级转债及可交换债    2008-12-31  100      91
0950045     #上证5年期地债               2013-12-31  100      1187
0950046     #上证3年期地债               2013-12-31  100      2723
0950047     #上证1-5年地债               2013-12-31  100      4142
0950051     #沪转债L                     2008-12-31  100      171
0950084     #2年国债                     2008-12-31  100      8
0950108     #上证民企公司债              2011-12-31  100      86
